"year","id","region","arealFjell","mean_snow"
2012,4,"Vestlandet",20329.6250265664,293.901893696922
2012,5,"Sørlandet",7085.62001515692,166.928292544014
2013,1,"Nord-Norge",59822.7350921747,126.345831725063
2013,2,"Midt-Norge",18294.6375230299,110.605493888999
2013,3,"Østlandet",19004.1775274179,87.4347153213664
2013,4,"Vestlandet",20329.6250265664,195.22867242387
2013,5,"Sørlandet",7085.62001515692,130.082986924417
2014,1,"Nord-Norge",59822.7350921747,158.317540688479
2014,2,"Midt-Norge",18294.6375230299,113.000618372745
2014,3,"Østlandet",19004.1775274179,108.295834759712
2014,4,"Vestlandet",20329.6250265664,253.009640540606
2014,5,"Sørlandet",7085.62001515692,206.911691555593
2015,1,"Nord-Norge",59822.7350921747,127.753648128706
2015,2,"Midt-Norge",18294.6375230299,131.909410746359
2015,3,"Østlandet",19004.1775274179,104.545101070714
2015,4,"Vestlandet",20329.6250265664,299.210694083972
2015,5,"Sørlandet",7085.62001515692,190.828498086088
2016,1,"Nord-Norge",59822.7350921747,118.928165896099
2016,2,"Midt-Norge",18294.6375230299,135.611241281017
2016,3,"Østlandet",19004.1775274179,94.4928483946381
2016,4,"Vestlandet",20329.6250265664,304.95393397909
2016,5,"Sørlandet",7085.62001515692,185.575562768401
2017,1,"Nord-Norge",59822.7350921747,171.398964610904
2017,2,"Midt-Norge",18294.6375230299,205.817465686518
2017,3,"Østlandet",19004.1775274179,101.695636910757
2017,4,"Vestlandet",20329.6250265664,222.624792158334
2017,5,"Sørlandet",7085.62001515692,110.971414356372
2018,1,"Nord-Norge",59822.7350921747,111.260851722649
2018,2,"Midt-Norge",18294.6375230299,155.647165112827
2018,3,"Østlandet",19004.1775274179,112.35693795523
2018,4,"Vestlandet",20329.6250265664,257.497107510634
2018,5,"Sørlandet",7085.62001515692,163.225660544819
2019,1,"Nord-Norge",59822.7350921747,122.899744392229
2019,2,"Midt-Norge",18294.6375230299,147.660487583253
2019,3,"Østlandet",19004.1775274179,90.2664169925258
2019,4,"Vestlandet",20329.6250265664,164.373137168417
2019,5,"Sørlandet",7085.62001515692,85.9489043161246
2020,1,"Nord-Norge",59822.7350921747,180.427225239534
2020,2,"Midt-Norge",18294.6375230299,215.755922658102
2020,3,"Østlandet",19004.1775274179,125.690228296216
2020,4,"Vestlandet",20329.6250265664,303.618990786322
2020,5,"Sørlandet",7085.62001515692,200.940279214081
2021,1,"Nord-Norge",59822.7350921747,106.889221394799
2021,2,"Midt-Norge",18294.6375230299,117.012978109673
2021,3,"Østlandet",19004.1775274179,100.955737116447
2021,4,"Vestlandet",20329.6250265664,195.039917627136
2021,5,"Sørlandet",7085.62001515692,136.519895691105
2022,1,"Nord-Norge",59822.7350921747,168.219476468471
2022,2,"Midt-Norge",18294.6375230299,237.933381302378
2022,3,"Østlandet",19004.1775274179,119.214965768008
2022,4,"Vestlandet",20329.6250265664,253.949388537634
2022,5,"Sørlandet",7085.62001515692,124.873780095032
2023,1,"Nord-Norge",59822.7350921747,124.900421770216
2023,2,"Midt-Norge",18294.6375230299,134.345398854144
2023,3,"Østlandet",19004.1775274179,116.480971847824
2023,4,"Vestlandet",20329.6250265664,223.593975733295
2023,5,"Sørlandet",7085.62001515692,167.178208262742
2024,1,"Nord-Norge",59822.7350921747,109.024180471701
2024,2,"Midt-Norge",18294.6375230299,135.08665326032
2024,3,"Østlandet",19004.1775274179,108.295167278812
2024,4,"Vestlandet",20329.6250265664,256.107328235656
2024,5,"Sørlandet",7085.62001515692,163.335488279908
2025,1,"Nord-Norge",59822.7350921747,175.808747476786
2025,2,"Midt-Norge",18294.6375230299,146.901266371138
2025,3,"Østlandet",19004.1775274179,82.6826303326452
2025,4,"Vestlandet",20329.6250265664,184.482950664052
2025,5,"Sørlandet",7085.62001515692,82.7412984981397
2026,1,"Nord-Norge",59822.7350921747,118.821924924699
2026,2,"Midt-Norge",18294.6375230299,86.7023320169392
2026,3,"Østlandet",19004.1775274179,73.1709926309173
2026,4,"Vestlandet",20329.6250265664,144.422589585649
2026,5,"Sørlandet",7085.62001515692,91.708247539461
